,LISTING_URL,MAKE,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,ENGINE_CAP_CC,MILEAGE_KM,VEHICLE_TYPE
140,https://www.sgcarmart.com/used_cars/info.php?ID=891135&DL=2296,Lexus,126800,11980.0,26-Jul-2019,1987,18500.0,SUV
141,https://www.sgcarmart.com/used_cars/info.php?ID=916516&DL=3626,Toyota,67800,7410.0,30-Nov-2018,1496,31000.0,Mid-Sized Sedan
142,https://www.sgcarmart.com/used_cars/info.php?ID=924946&DL=2962,Hyundai,24800,6120.0,10-Oct-2009,1591,148000.0,Hatchback
143,https://www.sgcarmart.com/used_cars/info.php?ID=896121&DL=3511,Toyota,127800,11990.0,21-Feb-2020,1797,,MPV
144,https://www.sgcarmart.com/used_cars/info.php?ID=926687&DL=1000,Mercedes-Benz,79800,7980.0,06-Jan-2011,2996,85000.0,Luxury Sedan
145,https://www.sgcarmart.com/used_cars/info.php?ID=926587&DL=1266,Toyota,86800,13230.0,23-Dec-2015,2362,85989.0,MPV
146,https://www.sgcarmart.com/used_cars/info.php?ID=926632&DL=3650,Porsche,128000,17720.0,22-Dec-2007,3387,39500.0,Sports Car
147,https://www.sgcarmart.com/used_cars/info.php?ID=918641&DL=3091,Nissan,87800,10560.0,28-Sep-2017,1997,56600.0,SUV
148,https://www.sgcarmart.com/used_cars/info.php?ID=926710&DL=1032,Chevrolet,44800,6900.0,16-Feb-2016,1598,29989.0,Mid-Sized Sedan
149,https://www.sgcarmart.com/used_cars/info.php?ID=926721&DL=3754,Ford,24000,9430.0,27-Jun-2012,1596,193500.0,Stationwagon
150,https://www.sgcarmart.com/used_cars/info.php?ID=923662&DL=3091,Volkswagen,71800,7200.0,06-Sep-2010,1984,145000.0,Sports Car
151,https://www.sgcarmart.com/used_cars/info.php?ID=921723&DL=3723,Volkswagen,55800,5580.0,08-Sep-2010,1390,125000.0,MPV
152,https://www.sgcarmart.com/used_cars/info.php?ID=924108&DL=1000,Toyota,8900,8390.0,04-Oct-2006,1794,,MPV
153,https://www.sgcarmart.com/used_cars/info.php?ID=926678&DL=3368,Mercedes-Benz,62555,16280.0,24-Jul-2013,1991,125000.0,Hatchback
154,https://www.sgcarmart.com/used_cars/info.php?ID=894492&DL=3511,Honda,73800,7550.0,31-Jan-2020,1317,,Hatchback
155,https://www.sgcarmart.com/used_cars/info.php?ID=926722&DL=1277,Toyota,23800,7760.0,07-Oct-2008,1598,123946.0,Mid-Sized Sedan
156,https://www.sgcarmart.com/used_cars/info.php?ID=908070&DL=2954,Mercedes-Benz,218888,23990.0,23-Nov-2017,2996,50000.0,SUV
157,https://www.sgcarmart.com/used_cars/info.php?ID=917344&DL=3403,Mercedes-Benz,122800,13240.0,20-Apr-2018,1595,47000.0,Luxury Sedan
158,https://www.sgcarmart.com/used_cars/info.php?ID=926765&DL=2266,Toyota,25800,7460.0,27-Feb-2009,1496,133399.0,Mid-Sized Sedan
159,https://www.sgcarmart.com/used_cars/info.php?ID=926625&DL=2185,Porsche,268800,29020.0,01-Mar-2018,2997,19260.0,SUV
160,https://www.sgcarmart.com/used_cars/info.php?ID=926205&DL=1000,Ferrari,448000,198870.0,05-Mar-2012,4497,,Sports Car
161,https://www.sgcarmart.com/used_cars/info.php?ID=911170&DL=3456,Toyota,36888,6460.0,29-May-2006,1497,85000.0,Hatchback
162,https://www.sgcarmart.com/used_cars/info.php?ID=920548&DL=2757,Volkswagen,73800,9500.0,31-Aug-2017,1395,36000.0,Hatchback
163,https://www.sgcarmart.com/used_cars/info.php?ID=908098&DL=2003,Audi,283999,28200.0,29-Nov-2018,2995,17000.0,SUV
164,https://www.sgcarmart.com/used_cars/info.php?ID=864981&DL=2296,Mercedes-Benz,315800,,,2999,5.0,Luxury Sedan
165,https://www.sgcarmart.com/used_cars/info.php?ID=919350&DL=1104,Volkswagen,75800,11760.0,14-Jan-2015,1984,87100.0,MPV
166,https://www.sgcarmart.com/used_cars/info.php?ID=926604&DL=3043,BMW,45000,12160.0,19-Mar-2013,1598,92000.0,Luxury Sedan
167,https://www.sgcarmart.com/used_cars/info.php?ID=919023&DL=2757,BMW,56800,18320.0,22-Jun-2012,1997,96556.0,Luxury Sedan
168,https://www.sgcarmart.com/used_cars/info.php?ID=926559&DL=2025,Nissan,76888,8830.0,26-Mar-2018,1197,26888.0,SUV
169,https://www.sgcarmart.com/used_cars/info.php?ID=926658&DL=1000,Honda,48000,6290.0,29-Apr-2008,1595,93500.0,Mid-Sized Sedan
170,https://www.sgcarmart.com/used_cars/info.php?ID=923911&DL=1104,Audi,99800,15620.0,10-Mar-2015,1984,59624.0,SUV
171,https://www.sgcarmart.com/used_cars/info.php?ID=918783&DL=3721,Toyota,76999,9300.0,09-Oct-2017,1598,12000.0,Mid-Sized Sedan
172,https://www.sgcarmart.com/used_cars/info.php?ID=926649&DL=2875,Volkswagen,85800,10510.0,03-Nov-2017,1598,51000.0,MPV
173,https://www.sgcarmart.com/used_cars/info.php?ID=926712&DL=1000,Honda,5800,,10-Mar-2006,1668,137000.0,Hatchback
174,https://www.sgcarmart.com/used_cars/info.php?ID=926671&DL=2290,Mercedes-Benz,110800,11610.0,23-Jan-2019,1595,23000.0,SUV
175,https://www.sgcarmart.com/used_cars/info.php?ID=919535&DL=3722,Nissan,50800,8460.0,22-Sep-2015,1598,,Mid-Sized Sedan
176,https://www.sgcarmart.com/used_cars/info.php?ID=926273&DL=2296,Audi,129800,13930.0,02-Feb-2018,1798,37000.0,Luxury Sedan
177,https://www.sgcarmart.com/used_cars/info.php?ID=875606&DL=2296,Mercedes-Benz,325800,27260.0,19-Dec-2019,2999,5000.0,Luxury Sedan
178,https://www.sgcarmart.com/used_cars/info.php?ID=917557&DL=3287,BMW,67800,6840.0,07-Sep-2010,2497,135000.0,Luxury Sedan
179,https://www.sgcarmart.com/used_cars/info.php?ID=926762&DL=3464,Kia,34800,6960.0,20-Sep-2010,1591,93622.0,Sports Car
180,https://www.sgcarmart.com/used_cars/info.php?ID=926713&DL=1015,Honda,51800,5180.0,04-Nov-2010,1595,,Mid-Sized Sedan
181,https://www.sgcarmart.com/used_cars/info.php?ID=922360&DL=2397,Toyota,34800,6960.0,12-Nov-2010,1497,108208.0,Mid-Sized Sedan
182,https://www.sgcarmart.com/used_cars/info.php?ID=926725&DL=1000,Volvo,30500,8890.0,24-Feb-2012,1596,166000.0,Luxury Sedan
183,https://www.sgcarmart.com/used_cars/info.php?ID=926664&DL=2849,Mercedes-Benz,89600,15660.0,15-May-2015,1991,33429.0,Hatchback
184,https://www.sgcarmart.com/used_cars/info.php?ID=926705&DL=1000,Toyota,145800,14970.0,10-Aug-2018,2493,63000.0,MPV
185,https://www.sgcarmart.com/used_cars/info.php?ID=926673&DL=1094,Volkswagen,84800,11980.0,24-Nov-2015,1984,77162.0,MPV
186,https://www.sgcarmart.com/used_cars/info.php?ID=920369&DL=3456,Subaru,26888,5370.0,24-Aug-2010,1498,,Mid-Sized Sedan
